Date,High,Low,Open,Close,Volume,Adj Close
1995-08-07,4702.830078125,4683.4599609375,4683.5,4693.31982421875,19590000,4693.31982421875
1995-08-08,4702.1298828125,4667.9599609375,4693.2998046875,4693.31982421875,22680000,4693.31982421875
1995-08-09,4696.83984375,4666.5498046875,4693.2998046875,4671.490234375,22270000,4671.490234375
1995-08-10,4683.81005859375,4633.10009765625,4671.5,4643.66015625,25120000,4643.66015625
1995-08-11,4647.89013671875,4597.169921875,4647.5,4618.2998046875,24260000,4618.2998046875
1995-08-14,4660.22021484375,4615.1298828125,4615.7998046875,4659.85986328125,23130000,4659.85986328125
1995-08-15,4661.27001953125,4614.080078125,4652.5,4640.83984375,30780000,4640.83984375
1995-08-16,4643.66015625,4627.4599609375,4634.2001953125,4639.080078125,33760000,4639.080078125
1995-08-17,4638.3798828125,4606.68017578125,4628.5,4630.6298828125,29770000,4630.6298828125
1995-08-18,4647.18017578125,4612.31982421875,4640.5,4617.60009765625,32160000,4617.60009765625
1995-08-21,4656.33984375,4614.080078125,4628.2001953125,4614.77978515625,34830000,4614.77978515625
1995-08-22,4623.58984375,4595.759765625,4618.2998046875,4620.419921875,29160000,4620.419921875
1995-08-23,4624.2900390625,4584.490234375,4618.0,4584.85009765625,27230000,4584.85009765625
1995-08-24,4595.759765625,4573.22021484375,4592.2001953125,4580.6201171875,26540000,4580.6201171875
1995-08-25,4614.43017578125,4579.919921875,4584.89990234375,4601.39990234375,24520000,4601.39990234375
1995-08-28,4620.77001953125,4580.27001953125,4611.60009765625,4594.0,22570000,4594.0
1995-08-29,4609.85009765625,4570.85009765625,4591.2001953125,4608.43994140625,25310000,4608.43994140625
1995-08-30,4621.47021484375,4601.0498046875,4615.5,4604.60009765625,23820000,4604.60009765625
1995-08-31,4615.83984375,4599.990234375,4605.2998046875,4610.56005859375,20010000,4610.56005859375
1995-09-01,4648.9501953125,4607.02978515625,4610.2001953125,4647.5400390625,21020000,4647.5400390625
1995-09-05,4679.22998046875,4645.77978515625,4660.2001953125,4670.080078125,26870000,4670.080078125
1995-09-06,4694.3798828125,4669.72021484375,4675.7001953125,4683.81005859375,27870000,4683.81005859375
1995-09-07,4688.0400390625,4663.740234375,4685.2001953125,4669.72021484375,24360000,4669.72021484375
1995-09-08,4701.419921875,4664.43994140625,4683.10009765625,4700.72021484375,27070000,4700.72021484375
1995-09-11,4723.60986328125,4698.9599609375,4703.5,4704.93994140625,26090000,4704.93994140625
1995-09-12,4747.2099609375,4704.240234375,4718.7001953125,4747.2099609375,33210000,4747.2099609375
1995-09-13,4771.16015625,4732.77001953125,4741.2001953125,4765.52001953125,44140000,4765.52001953125
1995-09-14,4801.7998046875,4759.89013671875,4765.5,4801.7998046875,41530000,4801.7998046875
1995-09-15,4815.18017578125,4784.5400390625,4801.7998046875,4797.56982421875,53960000,4797.56982421875
1995-09-18,4795.759765625,4755.83984375,4795.60009765625,4780.41015625,32940000,4780.41015625
1995-09-19,4781.1298828125,4730.5498046875,4780.7998046875,4767.0400390625,34570000,4767.0400390625
1995-09-20,4796.31005859375,4763.06982421875,4766.2998046875,4792.68994140625,52430000,4792.68994140625
1995-09-21,4794.14013671875,4742.83984375,4788.7001953125,4767.39990234375,38620000,4767.39990234375
1995-09-22,4773.18017578125,4728.39013671875,4767.7998046875,4764.14990234375,38200000,4764.14990234375
1995-09-25,4769.93017578125,4744.64013671875,4766.2998046875,4769.93017578125,34520000,4769.93017578125
1995-09-26,4798.10986328125,4755.1201171875,4770.2998046875,4765.60009765625,35490000,4765.60009765625
1995-09-27,4790.16015625,4692.97998046875,4763.10009765625,4762.35009765625,49210000,4762.35009765625
1995-09-28,4787.64013671875,4758.3701171875,4763.10009765625,4787.64013671875,36100000,4787.64013671875
1995-09-29,4816.5400390625,4781.85986328125,4787.60009765625,4789.080078125,28990000,4789.080078125
1995-10-02,4789.7998046875,4761.259765625,4789.7998046875,4761.259765625,29050000,4761.259765625
1995-10-03,4767.39990234375,4716.10009765625,4763.10009765625,4749.7001953125,32970000,4749.7001953125
1995-10-04,4749.7001953125,4726.93994140625,4749.2998046875,4740.669921875,33080000,4740.669921875
1995-10-05,4762.7099609375,4735.25,4740.0,4762.7099609375,32630000,4762.7099609375
1995-10-06,4783.66015625,4749.7001953125,4762.39990234375,4769.2099609375,25080000,4769.2099609375
1995-10-09,4768.1298828125,4711.77001953125,4767.0,4726.22021484375,26780000,4726.22021484375
1995-10-10,4726.580078125,4659.740234375,4721.5,4720.7998046875,40920000,4720.7998046875
1995-10-11,4738.85986328125,4711.41015625,4719.0,4735.25,31000000,4735.25
1995-10-12,4764.8798828125,4735.25,4737.7998046875,4764.8798828125,30770000,4764.8798828125
1995-10-13,4816.89990234375,4765.60009765625,4765.60009765625,4793.77978515625,31430000,4793.77978515625
1995-10-16,4796.669921875,4722.81982421875,4794.10009765625,4784.3798828125,23080000,4784.3798828125
1995-10-17,4798.10986328125,4771.3798828125,4784.7998046875,4795.9501953125,33480000,4795.9501953125
1995-10-18,4810.759765625,4771.02001953125,4794.5,4777.52001953125,33800000,4777.52001953125
1995-10-19,4802.4501953125,4770.2900390625,4779.0,4802.4501953125,32060000,4802.4501953125
1995-10-20,4815.81982421875,4786.91015625,4802.5,4794.85986328125,34640000,4794.85986328125
1995-10-23,4795.22021484375,4746.81005859375,4795.2001953125,4755.47998046875,28010000,4755.47998046875
1995-10-24,4788.72021484375,4755.83984375,4758.0,4783.66015625,28050000,4783.66015625
1995-10-25,4800.27978515625,4733.81005859375,4784.39990234375,4753.68017578125,38380000,4753.68017578125
1995-10-26,4755.47998046875,4667.68994140625,4754.39990234375,4703.81982421875,36360000,4703.81982421875
1995-10-27,4742.47998046875,4676.0,4703.7998046875,4741.75,30510000,4741.75
1995-10-30,4765.60009765625,4742.83984375,4742.83984375,4756.56982421875,24460000,4756.56982421875
1995-10-31,4801.0,4755.47998046875,4756.89990234375,4755.47998046875,29030000,4755.47998046875
1995-11-01,4770.2900390625,4744.64013671875,4753.7001953125,4766.68017578125,26950000,4766.68017578125
1995-11-02,4808.58984375,4766.31982421875,4767.0,4808.58984375,29070000,4808.58984375
1995-11-03,4825.93017578125,4802.81005859375,4805.7001953125,4825.56982421875,25330000,4825.56982421875
1995-11-06,4832.43017578125,4810.02978515625,4825.60009765625,4814.009765625,25060000,4814.009765625
1995-11-07,4888.7099609375,4788.72021484375,4814.7001953125,4797.02978515625,24900000,4797.02978515625
1995-11-08,4852.669921875,4794.85986328125,4795.89990234375,4852.669921875,28100000,4852.669921875
1995-11-09,4876.8701171875,4840.740234375,4851.2001953125,4864.22998046875,29320000,4864.22998046875
1995-11-10,4873.6201171875,4840.02001953125,4864.2001953125,4870.3701171875,21020000,4870.3701171875
1995-11-13,4886.6298828125,4847.60986328125,4867.7998046875,4872.89990234375,25470000,4872.89990234375
1995-11-14,4890.240234375,4861.33984375,4870.39990234375,4871.81005859375,34310000,4871.81005859375
1995-11-15,4922.75,4860.60986328125,4867.5,4922.75,36800000,4922.75
1995-11-16,4969.35986328125,4920.58984375,4922.39990234375,4969.35986328125,37180000,4969.35986328125
1995-11-17,4996.81005859375,4958.52001953125,4969.7001953125,4989.9501953125,34740000,4989.9501953125
1995-11-20,5003.68017578125,4976.22021484375,4990.2998046875,4983.08984375,27370000,4983.08984375
1995-11-21,5024.6298828125,4976.580078125,4980.60009765625,5023.5498046875,32370000,5023.5498046875
1995-11-22,5067.6201171875,5018.490234375,5022.7998046875,5041.60986328125,34820000,5041.60986328125
1995-11-24,5057.509765625,5041.60986328125,5042.0,5048.83984375,9990000,5048.83984375
1995-11-27,5090.02001953125,5048.83984375,5048.83984375,5070.8798828125,30890000,5070.8798828125
1995-11-28,5078.10009765625,5032.93994140625,5070.5,5078.10009765625,31610000,5078.10009765625
1995-11-29,5105.56005859375,5075.93017578125,5077.0,5105.56005859375,27690000,5105.56005859375
1995-11-30,5118.93017578125,5074.490234375,5107.0,5074.490234375,25980000,5074.490234375
1995-12-01,5107.3701171875,5073.41015625,5075.60009765625,5087.1298828125,28450000,5087.1298828125
1995-12-04,5139.52001953125,5074.1298828125,5086.39990234375,5139.52001953125,30260000,5139.52001953125
1995-12-05,5191.5400390625,5134.81982421875,5138.39990234375,5177.4501953125,30000000,5177.4501953125
1995-12-06,5209.25,5168.77978515625,5176.0,5199.1298828125,29460000,5199.1298828125
1995-12-07,5199.1298828125,5148.18994140625,5199.10009765625,5159.39013671875,57210000,5159.39013671875
1995-12-08,5175.64990234375,5137.7099609375,5159.39990234375,5156.85986328125,23630000,5156.85986328125
1995-12-11,5194.43017578125,5145.66015625,5156.10009765625,5184.31982421875,25470000,5184.31982421875
1995-12-12,5188.2900390625,5169.14013671875,5183.2001953125,5174.919921875,26070000,5174.919921875
1995-12-13,5219.35986328125,5166.60986328125,5171.7001953125,5216.47021484375,33320000,5216.47021484375
1995-12-14,5235.6201171875,5172.39013671875,5217.2001953125,5182.14990234375,36380000,5182.14990234375
1995-12-15,5188.64990234375,5163.0,5185.39990234375,5176.72998046875,36400000,5176.72998046875
1995-12-18,5176.3701171875,5069.7900390625,5174.2001953125,5075.2099609375,36780000,5075.2099609375
1995-12-19,5114.58984375,5051.72998046875,5075.60009765625,5109.89013671875,40910000,5109.89013671875
1995-12-20,5140.240234375,5059.31982421875,5110.2998046875,5059.31982421875,33120000,5059.31982421875
1995-12-21,5099.419921875,5057.509765625,5057.509765625,5096.52978515625,35300000,5096.52978515625
1995-12-22,5126.8701171875,5092.91015625,5096.2001953125,5097.97021484375,21360000,5097.97021484375
1995-12-26,5117.1201171875,5097.97021484375,5098.0,5110.259765625,14540000,5110.259765625
1995-12-27,5126.509765625,5098.330078125,5106.60009765625,5105.919921875,19480000,5105.919921875
1995-12-28,5106.27978515625,5088.22021484375,5106.27978515625,5095.7998046875,21490000,5095.7998046875
1995-12-29,5117.1201171875,5087.85986328125,5096.5,5117.1201171875,21530000,5117.1201171875
1996-01-02,5184.68017578125,5098.330078125,5115.7001953125,5177.4501953125,39910000,5177.4501953125
1996-01-03,5207.080078125,5176.3701171875,5177.10009765625,5194.06982421875,44760000,5194.06982421875
1996-01-04,5227.31005859375,5139.8798828125,5191.2001953125,5173.83984375,52010000,5173.83984375
